ExcelBarcode,Quantity,WellRow,WellCol,WellCombo,SampleID,SampleBarcode,Collection_Label,Field_Site,CollectionDate,Sample_Type,Habitat,Host,Trophic,Accessioned,PI,Metadata,Lat,Long,Processing,Storage_Room,Storage_Location,FreezerBox,Container_Size,Notes
00937',1,E,1,E01,WMEA_00937_No_M2,937,RockSwab2B-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00871',1,E,2,E02,WMEA_00871_No_M1,871,RockSwab1A-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00879',1,E,3,E03,WMEA_00879_No_M1,879,RockSwab3C-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00886',1,E,4,E04,WMEA_00886_Pl_M1,886,Limu2C-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Unknown,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00948',1,E,5,E05,WMEA_00948_Pl_M2,948,Limu2A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Geliadiella sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00961',1,E,6,E06,WMEA_00961_Pl_M2,961,Limu6B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Acanthophora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00952',1,E,7,E07,WMEA_00952_Pl_M2,952,Limu3B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Dictyoda sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00783',1,E,8,E08,WMEA_00783_NA_NA,783,Conesnail,NA,8/1/2018,ConeSnail,NA,NA,NA,No,Anthony,NA,NA,NA,Freeze Dry,SJ510,DryBox,,15ml,Malassezia check sample
01080',1,E,9,E09,WMEA_01080_NA_NA,1080,GF_female_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_female_3day,NA,NA,NA,NA,NA,NA,NA,
01090',1,E,10,E10,WMEA_01090_NA_NA,1090,CR_male_3day,NA,11/28/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_male_3day,NA,NA,NA,NA,NA,NA,NA,
01096',1,E,11,E11,WMEA_01096_NA_NA,1096,NA_male_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_male_3day,NA,NA,NA,NA,NA,NA,NA,
01104',1,E,12,E12,WMEA_01104_NA_NA,1104,NA_female_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_female_3day,NA,NA,NA,NA,NA,NA,NA,
00938',1,F,1,F01,WMEA_00938_No_M2,938,RockSwab2C-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00872',1,F,2,F02,WMEA_00872_No_M1,872,RockSwab1B-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00880',1,F,3,F03,WMEA_00880_No_M1,880,RockSwab4A-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00953',1,F,4,F04,WMEA_00953_Pl_M2,953,Limu3C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Dictyoda sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00889',1,F,5,F05,WMEA_00889_Pl_M1,889,Limu3C-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halimeda discoidea,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00947',1,F,6,F06,WMEA_00947_Pl_M2,947,Limu1C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Neomeris sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00956',1,F,7,F07,WMEA_00956_Pl_M2,956,Limu4C-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halemedia discoidea,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00783',1,F,8,F08,WMEA_00783_NA_NA,783,Conesnail,NA,8/1/2018,ConeSnail,NA,NA,NA,No,Anthony,NA,NA,NA,Freeze Dry,SJ510,DryBox,,15ml,Malassezia check sample
01081',1,F,9,F09,WMEA_01081_NA_NA,1081,GF_female_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_female_3day,NA,NA,NA,NA,NA,NA,NA,
01094',1,F,10,F10,WMEA_01094_NA_NA,1094,CR_male_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_male_3day,NA,NA,NA,NA,NA,NA,NA,
01097',1,F,11,F11,WMEA_01097_NA_NA,1097,NA_male_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_male_3day,NA,NA,NA,NA,NA,NA,NA,
01107',0,F,12,F12,WMEA_01107_NA_NA,1107,Empty,NA,NA,Ctl,NA,NA,NA,NA,NA,Position on plate left empty,NA,NA,NA,NA,NA,NA,NA,
00939',1,G,1,G01,WMEA_00939_No_M2,939,RockSwab3A-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00873',1,G,2,G02,WMEA_00873_No_M1,873,RockSwab1C-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00881',1,G,3,G03,WMEA_00881_No_M1,881,RockSwab4B-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00949',1,G,4,G04,WMEA_00949_Pl_M2,949,Limu2B-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Geliadiella sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00957',1,G,5,G05,WMEA_00957_Pl_M2,957,Limu5A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Tiagora sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00945',1,G,6,G06,WMEA_00945_Pl_M2,945,Limu1A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Neomeris sp,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00858',1,G,7,G07,WMEA_00858_No_M1,858,SedimentA-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
00783',1,G,8,G08,WMEA_00783_NA_NA,783,Conesnail,NA,8/1/2018,ConeSnail,NA,NA,NA,No,Anthony,NA,NA,NA,Freeze Dry,SJ510,DryBox,,15ml,Malassezia check sample
01082',1,G,9,G09,WMEA_01082_NA_NA,1082,GF_female_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_female_3day,NA,NA,NA,NA,NA,NA,NA,
01085',1,G,10,G10,WMEA_01085_NA_NA,1085,CR_female_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_female_3day,NA,NA,NA,NA,NA,NA,NA,
01098',1,G,11,G11,WMEA_01098_NA_NA,1098,NA_male_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_male_3day,NA,NA,NA,NA,NA,NA,NA,
01105',1,G,12,G12,WMEA_01105_NA_NA,1105,ExtractionPlate3Neg,NA,NA,NegativeControl,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
00940',1,H,1,H01,WMEA_00940_No_M2,940,RockSwab3B-M2,M2,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63852,-158.07062,NA,NA,NA,,,
00874',1,H,2,H02,WMEA_00874_No_M1,874,RockSwab2A-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00882',1,H,3,H03,WMEA_00882_No_M1,882,RockSwab4C-M1,M1,10/25/2018,RockSwab,Marine,Nonhost,Environmental,Yes,Craig,submerged boulders,21.63854,-158.0717,NA,NA,NA,,,
00895',1,H,4,H04,WMEA_00895_Pl_M1,895,Limu5C-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Laurencia sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00894',1,H,5,H05,WMEA_00894_Pl_M1,894,Limu5B-M1,M1,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Laurencia sp,21.63854,-158.0717,FreezeDry,SJ510,DryCabinet,,,
00954',1,H,6,H06,WMEA_00954_Pl_M2,954,Limu4A-M2,M2,10/25/2018,MacroAlga,Marine,Plant,PrimaryProducer,Yes,Anthony,Halemedia discoidea,21.63852,-158.07062,FreezeDry,SJ510,DryCabinet,,,
00858',1,H,7,H07,WMEA_00858_No_M1,858,SedimentA-M1,M1,10/25/2018,Sediment,Marine,Nonhost,Environmental,Yes,Craig,Sand,21.63854,-158.0717,NA,,,,,
01075',1,H,8,H08,WMEA_01075_NA_NA,1075,GF_male_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_male_3day,NA,NA,NA,NA,NA,NA,NA,
01083',1,H,9,H09,WMEA_01083_NA_NA,1083,GF_female_3day,NA,11/29/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,GF_female_3day,NA,NA,NA,NA,NA,NA,NA,
01086',1,H,10,H10,WMEA_01086_NA_NA,1086,CR_female_3day,NA,11/27/2018,DrosophilaLab,NA,NA,NA,Yes,Joanne,CR_female_3day,NA,NA,NA,NA,NA,NA,NA,
01099',1,H,11,H11,WMEA_01099_NA_NA,1099,NA_male_3day,NA,NA,DrosophilaLab,NA,NA,NA,Yes,Joanne,NA_male_3day,NA,NA,NA,NA,NA,NA,NA,
01106',1,H,12,H12,WMEA_01106_NA_NA,1106,ExtractionPlate3Neg,NA,NA,NegativeControl,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
